camera,serial,frame_index,unix_time_ns,image_file,meta_frame_count,meta_frames_dropped,meta_capture_time_ns,meta_camera_time_ns,meta_is_damaged
left,44814142,1,1772205307667992005,left_000001_1772205307667992005.png,1,0,1772205307575018000,5245327645806,False
right,44814140,1,1772205307880042271,right_000001_1772205307880042271.png,1,0,1772205307788784000,5245541468369,False
left,44814142,2,1772205325235002933,left_000002_1772205325235002933.png,2,1,1772205325131423000,5262884715021,False
right,44814140,2,1772205325234565407,right_000002_1772205325234565407.png,2,1,1772205325131357000,5262884702657,False
left,44814142,3,1772205325321428393,left_000003_1772205325321428393.png,3,1,1772205325182276000,5262935585384,False
right,44814140,3,1772205325321661737,right_000003_1772205325321661737.png,3,1,1772205325182295000,5262935573393,False
left,44814142,4,1772205325402950958,left_000004_1772205325402950958.png,4,1,1772205325232251000,5262985562319,False
right,44814140,4,1772205325404764352,right_000004_1772205325404764352.png,4,1,1772205325232259000,5262985550689,False
left,44814142,5,1772205325483947801,left_000005_1772205325483947801.png,5,1,1772205325282233000,5263035595095,False
right,44814140,5,1772205325487949619,right_000005_1772205325487949619.png,5,1,1772205325282284000,5263035583841,False
left,44814142,6,1772205325567147884,left_000006_1772205325567147884.png,6,1,1772205325332275000,5263085627855,False
right,44814140,6,1772205325570632637,right_000006_1772205325570632637.png,6,1,1772205325332314000,5263085616977,False
left,44814142,7,1772205325649037386,left_000007_1772205325649037386.png,7,1,1772205325382794000,5263136107352,False
right,44814140,7,1772205325652221011,right_000007_1772205325652221011.png,7,1,1772205325382793000,5263136096833,False
left,44814142,8,1772205325730657946,left_000008_1772205325730657946.png,8,1,1772205325432537000,5263185916767,False
right,44814140,8,1772205325734523058,right_000008_1772205325734523058.png,8,1,1772205325432532000,5263185934529,False
left,44814142,9,1772205325812628913,left_000009_1772205325812628913.png,9,1,1772205325483149000,5263236452089,False
right,44814140,9,1772205325821471879,right_000009_1772205325821471879.png,9,1,1772205325483171000,5263236442321,False
left,44814142,10,1772205325892221698,left_000010_1772205325892221698.png,10,1,1772205325532909000,5263286233584,False
right,44814140,10,1772205325898025890,right_000010_1772205325898025890.png,10,1,1772205325532888000,5263286252097,False
left,44814142,11,1772205325968839166,left_000011_1772205325968839166.png,11,2,1772205325733857000,5263487062674,False
right,44814140,11,1772205325975273225,right_000011_1772205325975273225.png,11,2,1772205325733778000,5263487082673,False
left,44814142,12,1772205326043869409,left_000012_1772205326043869409.png,12,2,1772205325783663000,5263537011690,False
